,CNV,CNV,CNV,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2
,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len
,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2BP1,-0.005361443596,0.15689826056403547,343.0,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,0.082832099405,0.21241658670414335,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AACSL,0.057494035415,0.17191361194559093,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AADACL1,-0.1657697284,0.14097940511305912,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ABCA11P,0.030222311360000004,0.22835030414631155,7.0,,,,,,,,,,,,,,,,,,,,,,,,
ABCA17P,0.1341790206,0.12382253716456637,13.0,,,,,,,,,,,,,,,,,,,,,,,,
ABCC13,-0.2071254136,0.07101629050298591,7.0,,,,,,,,,,,,,,,,,,,,,,,,
ABCC6P1,-0.1205006966,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ABO,0.2164232968,0.10817001125401161,4.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCN1,-0.012577427490000001,0.15251696730483338,220.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCN2,0.1776186766,0.27018451333324645,5.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCN4,0.29584532325,0.18871089553273027,6.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCN5,-0.20166537499999998,0.18580863991588242,12.0,,,,,,,,,,,,,,,,,,,,,,,,
ACTL7A,0.4200394608,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ACTL7B,0.3397260225,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ACTN3,0.1530285111,0.12553063588636304,3.0,,,,,,,,,,,,,,,,,,,,,,,,
ACTR2,0.16430560660000001,0.156949453325232,7.0,,,,,,,,,,,,,,,,,,,,,,,,
ADAM3A,-0.8631248656499999,0.43979770893676084,12.0,,,,,,,,,,,,,,,,,,,,,,,,
ADAM5P,-0.19595890970000002,0.45528419554131255,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ADFP,0.06207221393500001,0.1027461014347605,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ADH1C,-0.3410281487,0.20363968102726748,4.0,,,,,,,,,,,,,,,,,,,,,,,,
ADRA2C,0.3194920095,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AFG3L1,0.12081895320000001,0.09944999888248486,7.0,,,,,,,,,,,,,,,,,,,,,,,,
AFM,-0.1671601268,0.3503758629937876,7.0,,,,,,,,,,,,,,,,,,,,,,,,
AGAP11,0.08265468309,0.06436277616513326,5.0,,,,,,,,,,,,,,,,,,,,,,,,
AHCTF1,0.26447897,0.15189121137573822,18.0,,,,,,,,,,,,,,,,,,,,,,,,
AHDC1,0.2615481466,0.13450021603593493,16.0,,,,,,,,,,,,,,,,,,,,,,,,
AIM1L,0.1408058085,0.12714022595196903,4.0,,,,,,,,,,,,,,,,,,,,,,,,
AK3L1,0.09410753319500001,0.12025640555359636,16.0,,,,,,,,,,,,,,,,,,,,,,,,
AKAP11,-0.09652580112,0.07202366629902196,12.0,,,,,,,,,,,,,,,,,,,,,,,,
AKR1B10L,0.0449843908,0.16078649223027683,3.0,,,,,,,,,,,,,,,,,,,,,,,,
AKR1CL1,-0.058316126605000004,0.1123547907241106,4.0,,,,,,,,,,,,,,,,,,,,,,,,
AKR1CL2,-0.047805896720000005,0.1786749522218938,5.0,,,,,,,,,,,,,,,,,,,,,,,,
AKR7L,0.22197155765,0.058492316224992326,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ALDH3B1,0.144434453255,0.16229933585887163,4.0,,,,,,,,,,,,,,,,,,,,,,,,
ALG1L,0.1406463673,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ALMS1P,0.06063734580999999,0.19291690337467657,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ALOX12P2,0.027950576235,0.14210871465385427,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ALS2CR4,0.0066519563190000006,0.11225942195368618,5.0,,,,,,,,,,,,,,,,,,,,,,,,
AMAC1,0.06769866329,0.06752862181561048,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AMELY,0.0,0.12387880133906959,3.0,,,,,,,,,,,,,,,,,,,,,,,,
ANAPC1,0.022509538,0.18763797691848544,11.0,,,,,,,,,,,,,,,,,,,,,,,,
ANKHD1-EIF4EBP3,0.2043472791,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD19,-0.07261767260499999,0.14387904938333496,6.0,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD26P1,0.07605500819,0.1166923205049613,19.0,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD34C,0.1890147243,0.0035532838502671,3.0,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD36B,-0.057666286399999996,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
