,CNV,CNV,CNV,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2
,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Dec,,,,-0.09682171006856341,0.3095391599777739,3.0,-0.31360214665247443,0.2520633966378436,3.0,-0.15671010722125947,0.7626158791190881,3.0,0.0609450377266447,0.13871251081396635,3.0,-0.03147530665022173,0.38442078623701587,3.0,-0.14269744884956606,0.4298463326667443,3.0,-0.7382965027023631,0.48865994620571374,3.0,-0.6495326741461638,0.5821996063314141,3.0
1-Mar,,,,-0.0014507280866783829,0.14990034553636403,9.0,-0.007358140842678528,0.23882147651588045,9.0,0.14456777768638568,0.21571760346361185,9.0,0.07979391806402382,0.3182424370523302,9.0,-0.0950760832333227,0.34450622774040957,9.0,-0.16065508987257782,0.4285718781442315,9.0,-1.105905796030209,0.5979980329535202,9.0,-1.0530009822544288,0.6568272078634784,9.0
1-Sep,,,,-0.25074505297509897,0.10466417885743975,3.0,-0.15431094940738546,0.3241633064837677,3.0,-0.3892852220497222,0.17556388354833055,3.0,-0.06786530362554696,0.6834906943416061,3.0,-0.3404019291799483,0.17945354713921516,3.0,-0.16402065899740714,0.4520945849002912,3.0,-1.2634588410562915,0.37442297655583967,3.0,-1.2152156513708374,0.36198402276489244,3.0
10-Mar,,,,0.3167165428981694,0.35952003904069246,4.0,0.29052243555107554,0.3782784942042316,4.0,0.14351716690761157,0.6360262986748667,4.0,0.3179770359116377,0.4914238952809842,4.0,0.043548122806018275,0.29419518203377326,4.0,-0.014089346829708728,0.2839332664325167,4.0,-1.155326021977336,0.4847687063920457,4.0,-0.9870619503003879,0.6017166462245621,4.0
10-Sep,,,,-0.541840290048121,0.5147265746420363,3.0,-0.46007794463931345,0.5780747327570811,3.0,-0.5470010944776326,0.3619432893096032,3.0,-0.6122775800620207,0.8376737590903994,3.0,-0.4371584612720564,0.6771566791101303,3.0,-0.1971234478188952,0.4674311295196399,3.0,-0.8006304831428687,0.35207387778363325,3.0,-1.1092129777765694,0.5465096704369422,3.0
11-Mar,,,,0.12089289616638438,0.2210786892887261,3.0,0.23025663526463555,0.33670885377178084,3.0,0.15945142673603702,0.22106159870821293,3.0,0.2989641450274649,0.5881969963426522,3.0,0.2763082472473222,0.2702083770334458,3.0,0.1018475350454063,0.15537113654321427,3.0,-0.5095825324750062,0.6333651471217246,3.0,-0.21508973068745424,0.9833483805638075,3.0
11-Sep,,,,0.13338333346486553,0.11681935963996927,3.0,0.07719996580601925,0.06592380092053333,3.0,0.3319091706431099,0.3415055886959297,3.0,-0.04666309219506891,0.3794822977260688,3.0,-0.1687783442310326,0.24307595919996253,3.0,-0.07606605842641517,0.004554439185655433,3.0,-0.932399730019585,0.2746407086099911,3.0,-1.2449643756198268,0.2726708053814482,3.0
12-Sep,,,,0.005726543007453134,0.07278862919254594,3.0,-0.03268660436054845,0.13381817198218765,3.0,0.03729664375046636,0.2644781355546402,3.0,-0.022987422531231167,0.25803956601171935,3.0,-0.07638162906110288,0.04839727068381866,3.0,0.03958480645024578,0.10987492495968264,3.0,-1.4500220299257436,0.12248451554316206,3.0,-1.3775426811890628,0.14638698969667027,3.0
14-Sep,,,,-0.2905544238694666,0.3066912625648343,3.0,-0.14227001352662896,0.4139967604067383,3.0,-0.08939464625407628,0.34090014710936956,3.0,-0.33129399118963,0.3748304111865745,3.0,-0.5009812680525407,0.3180413626541329,3.0,-0.5948662828685057,0.3278821241496212,3.0,-1.547629335484083,0.3211089877716753,3.0,-1.7092180712274807,0.40980187356078823,3.0
2-Mar,,,,0.24263605605149527,0.22377253008268533,11.0,0.052407068537856046,0.25029936249480933,11.0,0.30037282284672895,0.23320565731526105,11.0,0.17411971258274828,0.3441683118021789,11.0,0.08348059614601121,0.3158948239607502,11.0,0.11579687887727129,0.33504237177464824,11.0,-0.7880507800125136,0.7162568476712455,11.0,-0.8527477673146882,0.7103727891196215,11.0
2-Sep,,,,-0.07422708274283557,0.14954987858119695,4.0,-0.06720861700963347,0.19597857754078518,4.0,0.0778750917141009,0.26027395150554394,4.0,-0.26072472290811644,0.3778562469012076,4.0,-0.07087888365431688,0.0830534010858855,4.0,-0.0715840997148019,0.12153721149033639,4.0,-1.4737240238956602,0.7058371475185822,4.0,-1.435850726978167,0.48013645541649014,4.0
3-Mar,,,,-0.07797184410258189,0.15205171987325128,4.0,-0.13065682362807504,0.30745503749816017,4.0,-0.0228332638195997,0.4004086553060042,4.0,-0.2662358535574205,0.37145261152875075,4.0,-0.2243916366661224,0.34879283149000034,4.0,-0.11600342400934384,0.21873457590295087,4.0,-0.7428785648225104,0.5849292767912085,4.0,-0.685291273165646,0.7491656315732111,4.0
